References,TaxonomyPredator,CommonNamePredator,MeanMassPredator_kg,TaxonomyPrey,CommonNamePrey,MeanMassPrey_kg,Medium,Position,FitsModelAssumptions,MainViolatedAssumption,FoodWebs
Broseetal(2005),NA,Anchovy,0.0115,NA,Microzooplankton,1e-07,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Anchovy,0.0115,NA,Macrozooplankton,0.001,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Pilchard,0.28,NA,Macrozooplankton,0.001,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Roundherring,0.2152,NA,Macrozooplankton,0.001,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Lightfish,0.0048,NA,Macrozooplankton,0.001,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Lanternfish,0.0069,NA,Macrozooplankton,0.001,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Goby,0.0186,NA,Macrozooplankton,0.001,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Otherpelagics,2.55485,NA,Benthiccarnvores,0.01,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Otherpelagics,2.55485,NA,Macrozooplankton,0.001,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Otherpelagics,2.55485,NA,Gelatinouszooplankton,0.1,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Horsemackerel,5.1049,NA,Lanternfish,0.0069,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Horsemackerel,5.1049,NA,Benthiccarnivores,0.01,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Horsemackerel,5.1049,NA,Macrozooplankton,0.001,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Chubmackerel,3.2595,NA,Lanternfish,0.0069,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Chubmackerel,3.2595,NA,Benthiccarnivores,0.01,Water,Column,Yes,NA,FoodWeb10
Broseetal(2005),NA,Chubmackerel,3.2595,NA,Macrozooplankton,0.001,Water,Column,Yes,NA,FoodWeb10
